scenario,layout,run,n,f,commits,budget_kib,locality,tree_bytes_avg,transaction_bytes_avg,total_bytes_avg,commit_ms_avg,commit_ms_p50,commit_ms_p95,flushes,open_read_ops,open_ms,resolve_read_ops_avg,resolve_ms_avg,resolve_ms_p50,resolve_ms_p95,materialize_read_ops,materialize_ms,cache_policy,delta_bytes_avg,folds,max_delta_tail
AB-TRICKLE,flat,1,50000,10,500,128,contiguous,4477891.248,0.000,4477891.248,6.604,6.465,6.889,0,3,15.664,0.000,0.000,0.000,0.000,3,15.664,disabled,0.000,0,0
AB-TRICKLE,betree,1,50000,10,500,128,contiguous,3043.324,27.416,3969.416,0.431,0.391,0.489,7,26,5.322,2.000,0.396,0.346,0.588,0,0.000,disabled,898.676,16,32
AB-REPLACE,flat,1,50000,10,500,128,contiguous,4283603.748,0.000,4283603.748,6.366,6.276,6.637,0,3,13.362,0.000,0.000,0.000,0.000,3,13.362,disabled,0.000,0,0
AB-REPLACE,betree,1,50000,10,500,128,contiguous,2506.124,56.720,4199.368,0.427,0.381,0.458,12,27,4.992,2.000,0.344,0.340,0.373,0,0.000,disabled,1636.524,18,32
AB-MIXED,flat,1,50000,10,1000,128,contiguous,4409964.374,0.000,4409964.374,6.489,6.410,6.770,0,3,13.606,0.000,0.000,0.000,0.000,3,13.606,disabled,0.000,0,0
AB-MIXED,betree,1,50000,10,1000,128,contiguous,2995.427,11.473,3405.016,0.430,0.401,0.490,9,26,8.770,2.000,0.384,0.344,0.524,0,0.000,disabled,398.116,31,32
AB-OPEN,flat,1,50000,1,100,128,append,0.000,0.000,0.000,0.000,0.000,0.000,0,3,12.653,0.000,0.000,0.000,0.000,3,12.653,disabled,0.000,0,0
AB-RESOLVE,flat,1,50000,1,100,128,deterministic,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled,0.000,0,0
AB-OPEN,betree,1,50000,1,100,128,append,0.000,0.000,0.000,0.000,0.000,0.000,0,3,1.315,0.000,0.000,0.000,0.000,68,23.489,disabled,0.000,0,0
AB-RESOLVE,betree,1,50000,1,100,128,deterministic,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,2.000,0.332,0.330,0.352,0,0.000,disabled,0.000,0,0
AB-TRICKLE,flat,2,50000,10,500,128,contiguous,4477891.248,0.000,4477891.248,6.554,6.470,6.883,0,3,14.065,0.000,0.000,0.000,0.000,3,14.065,disabled,0.000,0,0
AB-TRICKLE,betree,2,50000,10,500,128,contiguous,3042.812,27.416,3968.904,0.422,0.387,0.464,7,26,5.351,2.000,0.387,0.344,0.593,0,0.000,disabled,898.676,16,32
AB-REPLACE,flat,2,50000,10,500,128,contiguous,4283603.748,0.000,4283603.748,6.384,6.307,6.602,0,3,13.262,0.000,0.000,0.000,0.000,3,13.262,disabled,0.000,0,0
AB-REPLACE,betree,2,50000,10,500,128,contiguous,2506.252,56.720,4199.496,0.425,0.379,0.458,12,27,7.403,2.000,0.340,0.338,0.366,0,0.000,disabled,1636.524,18,32
AB-MIXED,flat,2,50000,10,1000,128,contiguous,4409964.374,0.000,4409964.374,6.509,6.437,6.811,0,3,13.982,0.000,0.000,0.000,0.000,3,13.982,disabled,0.000,0,0
AB-MIXED,betree,2,50000,10,1000,128,contiguous,2995.619,11.473,3405.208,0.432,0.403,0.500,9,26,8.739,2.000,0.384,0.343,0.522,0,0.000,disabled,398.116,31,32
AB-OPEN,flat,2,50000,1,100,128,append,0.000,0.000,0.000,0.000,0.000,0.000,0,3,12.688,0.000,0.000,0.000,0.000,3,12.688,disabled,0.000,0,0
AB-RESOLVE,flat,2,50000,1,100,128,deterministic,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled,0.000,0,0
